ALARM_ID_PK,ALARM_CODE,ENTITY_NAME,ENTITY_ID,SUBENTITY,PROBABLE_CAUSE
49611045,7385,ST-C8201-T1-R1-P,fc00:1000:35::1,HundredGigE0/0/0/2/1,"Physical link failure, interface misconfiguration, or device malfunction."
49611048,7385,ST-C8201-T1-R1-P,fc00:1000:35::1,HundredGigE0/0/0/0/1,"Physical link failure, interface misconfiguration, or device malfunction."
49611049,7385,ST-C8201-T1-R1-P,fc00:1000:35::1,HundredGigE0/0/0/2/0,"Physical link failure, interface misconfiguration, or device malfunction."
49620599,7385,ET-C8201-T1-R1-P,fc00:1000:1::1,HundredGigE0/0/0/11,"Physical link failure, interface misconfiguration, or device malfunction."
49694158,7385,ET-C8201-T1-R2-P,fc00:1000:2::1,HundredGigE0/0/0/2/1,"Physical link failure, interface misconfiguration, or device malfunction."
49722220,7385,ET-C8201-T1-R1-P,fc00:1000:1::1,Optics0/0/0/2,"Physical link failure, interface misconfiguration, or device malfunction."
49722229,7385,ET-C8201-T1-R2-P,fc00:1000:2::1,HundredGigE0/0/0/0/1,"Physical link failure, interface misconfiguration, or device malfunction."
49722232,7385,ET-C8201-T1-R1-P,fc00:1000:1::1,Bundle-Ether1,"Physical link failure, interface misconfiguration, or device malfunction."
49722233,7385,ET-C8201-T1-R1-P,fc00:1000:1::1,Optics0/0/0/0,"Physical link failure, interface misconfiguration, or device malfunction."
66764010,7385,ST-C8201-T1-R1-P,fc00:1000:35::1,Optics0/0/0/6,"Physical link failure, interface misconfiguration, or device malfunction."
66764032,7385,ST-C8201-T1-R1-P,fc00:1000:35::1,HundredGigE0/0/0/6/0,"Physical link failure, interface misconfiguration, or device malfunction."
66764087,7385,ET-C8201-T1-R1-P,fc00:1000:1::1,HundredGigE0/0/0/8/0,"Physical link failure, interface misconfiguration, or device malfunction."
66764088,7385,KTE-C8201-T1-R1-P,fc00:1000:13::1,HundredGigE0/0/0/16/0,"Physical link failure, interface misconfiguration, or device malfunction."
